Model,Dataset,RMSE,MAE,MSE,R2
Random Forest,Training,0.22136179298948014,0.1320248632724182,0.04900104339551746,0.929043778658921
Random Forest,Validation,0.5751387003176176,0.34698085517013316,0.33078452460303837,0.5040492268459115
Random Forest,Test,0.6103812210711189,0.3680793243463499,0.3725652350362701,0.4785954775808321
SVR,Training,0.5768122175005723,0.29533114059602933,0.33271233425792757,0.5182141359326199
SVR,Validation,0.6160451404851984,0.3384543299700119,0.37951161511542786,0.43099188463146
SVR,Test,0.6664146192872837,0.3634521257600467,0.44410844479981537,0.3784708561424841
GBM,Training,0.6105956823200696,0.3876680656095011,0.3728270872679113,0.46012575461705985
GBM,Validation,0.6259364405503298,0.39579554721130994,0.3917964276088166,0.4125730596835253
GBM,Test,0.669749595022456,0.4185489131710558,0.4485645200327438,0.37223458512148366
Linear Regression,Training,0.6593650934341996,0.43143659177820154,0.4347623264394907,0.3704401023341276
Linear Regression,Validation,0.6539479308143403,0.42757806158433737,0.4276478962163573,0.35882035285433767
Linear Regression,Test,0.6956870373934818,0.4474730923812592,0.4839804539973197,0.3226700353506743
MLP,Training,0.16748622313903716,0.12260555017574692,0.028051634941379345,0.9593796809220242
MLP,Validation,0.5161278400717155,0.3327358587353713,0.26638794729709436,0.600600092826377
MLP,Test,0.5276690444493002,0.3393646815581492,0.2784346204700375,0.6103311402712901
XGBoost,Training,0.2536884602603657,0.1716240042470383,0.06435783486927514,0.906806295140347
XGBoost,Validation,0.5566704732345413,0.3472087020276838,0.30988201577116825,0.5353887081244468
XGBoost,Test,0.5932712072670142,0.36710223235997486,0.3519707253720606,0.5074174648896552
Random Forest,Training,0.31061552903412676,0.2007199473765026,0.09648200687715044,0.9490498283854655
Random Forest,Validation,0.8085736834440191,0.5307438382467999,0.6537914015582289,0.6576678611073045
Random Forest,Test,0.8132138994978482,0.5315888359204158,0.6613168463364963,0.6462410533434801
SVR,Training,0.8332366680474339,0.4549013918064234,0.6942833449787895,0.6333631863522123
SVR,Validation,0.9143490182159498,0.5432422064043869,0.8360341271124713,0.562243629635423
SVR,Test,0.9077076553167804,0.5377127325861472,0.8239331875206871,0.5592525154207894
GBM,Training,0.9885935658512377,0.7170689369424774,0.9773172384424654,0.4838987845278826
GBM,Validation,1.0114634015301311,0.73064050248585,1.0230582126349033,0.4643158271761819
GBM,Test,1.0107853046264934,0.7314811657830017,1.021686932048873,0.45346788775068547
Linear Regression,Training,0.9781294027761189,0.6959245388945126,0.9567371285751671,0.49476671901145886
Linear Regression,Validation,1.0293554011599457,0.7231473920322864,1.0595725418971529,0.44519653559971606
Linear Regression,Test,1.0229212350718222,0.7248750287014737,1.0463678531608622,0.4402652955235893
MLP,Training,0.23078492207029913,0.1480302436727127,0.053261680254994045,0.9718735976032741
MLP,Validation,0.7342443884587245,0.4797377323962982,0.5391148219831263,0.7177137391553762
MLP,Test,0.7390001724886598,0.48292371913221954,0.5461212549382689,0.7078627575209302
XGBoost,Training,0.5155498329917414,0.35368222455810117,0.26579163029781244,0.8596408841845142
XGBoost,Validation,0.8232210214991865,0.5497387491374179,0.6776928502381642,0.6451528080953883
XGBoost,Test,0.818708254383609,0.5491719950899955,0.6702832057958561,0.6414446688339089
Random Forest,Training,0.01609772012715457,0.004548432483214207,0.0002591365932921974,0.879914501971411
Random Forest,Validation,0.022992466749860045,0.01193270239066531,0.0005286535272434197,0.3837656701597296
Random Forest,Test,0.02521453245370773,0.012318006380750153,0.0006357726468590802,0.36905400555704804
SVR,Training,0.05287869684683644,0.035429791811763506,0.00279615658021963,-0.2957562312435511
SVR,Validation,0.04150718381887531,0.03530154211984243,0.0017228463085739046,-1.0082662569523952
SVR,Test,0.041740275645458985,0.035329343790631025,0.0017422506109588964,-0.7290238102111293
GBM,Training,0.026201318237258,0.016735131769881655,0.0006865090773700685,0.6818674529529902
GBM,Validation,0.03302380962590924,0.01679305296442899,0.001090572002208296,-0.27124453406691273
GBM,Test,0.03326500326499805,0.017226718146196075,0.001106560442220331,-0.09815966773212237
Linear Regression,Training,0.042862307863321396,0.01744740074497947,0.0018371774353701433,0.148640628131803
Linear Regression,Validation,0.024492838606925544,0.017329872873966392,0.0005998991430249023,0.300716958607402
Linear Regression,Test,0.026573381285158553,0.017591340735740833,0.0007061445929264148,0.2992163085254207
MLP,Training,0.04171659334613776,0.01778658559103141,0.0017402741604070253,0.19354620432507352
MLP,Validation,0.02468457845266081,0.018971749052290713,0.0006093284133855664,0.2897255629160026
MLP,Test,0.026477809632812502,0.019278646573006316,0.0007010744029514584,0.30424800668287955
XGBoost,Training,0.015383712415380129,0.010680372525948702,0.0002366586076791207,0.8903309393519168
XGBoost,Validation,0.018565414495799865,0.012513157252060422,0.0003446746154008558,0.598223941222851
XGBoost,Test,0.03178871024891982,0.01300717098273603,0.0010105220992897802,-0.0028504277320557936
